strain	brigg_length_estimate	group
BRC20069	6	1
BRC20073	5	2
BRC20075	2	3
BRC20076	2	4
BRC20077	10	5
BRC20081	4	6
BRC20085	4	7
BRC20086	1	4
BRC20088	8	8
BRC20089	4	9
BRC20090	5	10
BRC20092	3	11
BRC20093	7	12
BRC20095	3	13
BRC20096	8	14
BRC20098	5	15
BRC20099	7	16
BRC20100	10	17
BRC20102	5	18
BRC20103	7	19
BRC20107	2	20
BRC20120	9	21
BRC20121	4	22
BRC20122	4	23
BRC20123	4	24
BRC20224	3	25
BRC20229	3	26
BRC20230	4	27
BRC20232	4	28
BRC20234	4	29
BRC20236	10	23
BRC20237	4	23
BRC20238	8	23
BRC20239	3	30
BRC20241	7	29
BRC20242	3	31
BRC20244	6	32
BRC20246	8	33
BRC20247	4	4
BRC20254	5	28
BRC20255	6	22
BRC20256	7	33
BRC20260	7	34
BRC20269	10	35
BRC20289	4	36
BRC20290	5	37
BRC20294	8	38
BRC20295	7	38
BRC20308	7	39
BRC20309	9	40
BRC20310	12	41
BRC20311	12	41
BRC20312	6	42
BRC20315	8	43
BRC20320	4	44
BRC20324	4	45
BRC20331	9	35
BRC20333	3	46
BRC20334	5	47
BRC20339	2	48
BRC20341	5	49
BRC20342	2	50
BRC20343	7	50
BRC20345	9	22
BRC20346	5	51
BRC20347	5	52
BRC20348	9	53
BRC20366	6	54
BRC20367	4	55
BRC20369	9	56
BRC20370	9	57
BRC20390	4	4
BRC20401	7	58
BRC20408	3	4
BRC20462	2	4
BRC20463	6	59
BRC20492	6	60
BRC20498	5	61
BRC20499	4	62
BRC20500	2	62
BRC20501	8	63
BRC20503	5	64
BRC20519	5	65
BRC20520	5	66
BRC20522	5	67
BRC20523	6	67
BRC20524	6	68
BRC20525	5	67
BRC20526	3	69
BRC20528	3	70
BRC20529	5	71
BRC20530	6	72
BRC20531	3	73
BRC20532	4	74
BRC20533	3	75
BRC20534	5	76
BRC20535	4	77
BRC20536	5	78
BRC20537	8	79
BRC20540	5	80
BRC20541	5	81
BRC20542	6	81
BRC20543	7	25
BRC20544	4	82
BRC20545	5	83
BRC20556	4	84
BRC20557	4	85
BW287	7	86
ECA1127	3	87
ECA1128	3	87
ECA1129	4	88
ECA1130	6	88
ECA1143	6	89
ECA1144	6	89
ECA1145	4	89
ECA1146	4	90
ECA1147	5	91
ECA1148	4	92
ECA1149	6	92
ECA1152	5	93
ECA1153	5	93
ECA1156	4	93
ECA1157	2	94
ECA1158	1	94
ECA1159	1	94
ECA1160	6	93
ECA1161	4	93
ECA1162	4	93
ECA1163	6	93
ECA1164	5	95
ECA1165	4	93
ECA1166	3	96
ECA1167	3	96
ECA1168	3	96
ECA1169	3	96
ECA1170	5	97
ECA1172	4	98
ECA1173	8	98
ECA1174	5	87
ECA1175	6	87
ECA1176	5	87
ECA1177	5	98
ECA1178	6	98
ECA1179	5	98
ECA1180	6	98
ECA1181	6	98
ECA1182	4	96
ECA1183	3	99
ECA1381	4	98
ECA1382	5	87
ECA1383	5	98
ECA1384	5	87
ECA1387	7	100
ECA1399	6	98
ECA1407	7	98
ECA1411	10	101
ECA1423	6	102
ECA1427	7	103
ECA1429	8	103
ECA1431	4	104
ECA1437	3	100
ECA1443	3	105
ECA1455	4	96
ECA1457	3	96
ECA1459	5	106
ECA1461	3	96
ECA1469	5	106
ECA1471	5	107
ECA1473	6	108
ECA1475	9	108
ECA1477	1	96
ECA1479	4	96
ECA1483	13	109
ECA1487	4	106
ECA1495	3	110
ECA1499	3	106
ECA1501	2	96
ECA1511	4	109
ECA1513	6	111
ECA1517	3	112
ECA1529	6	111
ECA1531	6	111
ECA1535	3	108
ECA1543	6	111
ECA1545	11	113
ECA1547	4	114
ECA1549	3	114
ECA1551	17	114
ECA1553	3	96
ECA1555	5	114
ECA1557	2	96
ECA1559	3	96
ECA1561	7	115
ECA1563	6	108
ECA1565	2	113
ECA1567	4	113
ECA1569	4	96
ECA1571	3	116
ECA1573	3	106
ECA1575	4	113
ECA1577	3	96
ECA1587	5	117
ECA1589	6	106
ECA1591	6	106
ECA1593	7	106
ECA1595	6	106
ECA1597	3	106
ECA1601	5	106
ECA1605	3	118
ECA1607	6	93
ECA1609	6	113
ECA161	5	119
ECA1611	5	120
ECA1613	4	120
ECA1615	5	121
ECA1617	3	120
ECA1619	5	120
ECA162	5	122
ECA1621	6	123
ECA1625	4	123
ECA1627	3	113
ECA1629	4	113
ECA163	8	124
ECA1631	5	113
ECA1637	7	125
ECA1639	8	125
ECA1641	9	125
ECA1643	6	126
ECA1645	10	126
ECA1651	19	126
ECA1653	18	126
ECA1655	17	126
ECA1657	12	127
ECA1659	9	128
ECA1667	19	126
ECA1706	2	129
ECA175	4	130
ECA176	12	131
ECA177	4	132
ECA1773	2	113
ECA178	4	133
ECA179	9	131
ECA180	9	134
ECA181	10	131
ECA182	4	135
ECA183	3	133
ECA185	3	136
ECA186	4	137
ECA188	3	87
ECA2083	13	111
ECA2089	4	96
ECA2093	3	138
ECA2115	5	139
ECA2239	7	99
ECA2275	7	126
ECA2277	11	126
ECA2279	6	126
ECA2297	3	128
ECA2299	4	128
ECA2301	4	128
ECA2368	17	126
ECA2371	5	126
ECA2373	9	126
ECA2379	4	99
ECA2381	3	99
ECA2383	4	99
ECA2385	4	99
ECA2387	3	99
ECA2425	6	140
ECA2455	4	99
ECA2457	3	99
ECA2470	1	129
ECA2493	1	99
ECA2499	2	94
ECA2501	2	94
ECA2503	2	94
ECA2505	2	94
ECA2507	2	94
ECA2511	2	94
